gt_id,frame,object_id,bbox,l0_bbox,l0_short_side,l0_area,size_bin,area_bin,boundary,cx_norm,cy_norm
f13-g01,13,spacecraft,"[1486.0, 1467.0, 1532.0, 1516.0]","[371.5, 366.75, 383.0, 379.0]",11.5,140.875,8-<16,128-<512,0,0.39296875,0.6905092592592592
f13-g02,13,jet_plane,"[2218.0, 498.0, 2295.0, 578.0]","[554.5, 124.5, 573.75, 144.5]",19.25,385.0,16-<32,128-<512,0,0.5876302083333333,0.2490740740740741
f13-g03,13,large_tower,"[3465.0, 348.0, 3526.0, 414.0]","[866.25, 87.0, 881.5, 103.5]",15.25,251.625,8-<16,128-<512,0,0.9102864583333333,0.1763888888888889
f13-g04,13,small_launcher,"[1776.0, 986.0, 1798.0, 1016.0]","[444.0, 246.5, 449.5, 254.0]",5.5,41.25,4-<8,32-<128,0,0.46536458333333336,0.4634259259259259
f13-g05,13,tank,"[795.0, 695.0, 845.0, 742.0]","[198.75, 173.75, 211.25, 185.5]",11.75,146.875,8-<16,128-<512,0,0.21354166666666666,0.3326388888888889
f13-g06,13,helicopter,"[2264.0, 1733.0, 2384.0, 1831.0]","[566.0, 433.25, 596.0, 457.75]",24.5,735.0,16-<32,512-<2048,0,0.6052083333333333,0.825
f13-g07,13,small_tower,"[2684.0, 1670.0, 2743.0, 1728.0]","[671.0, 417.5, 685.75, 432.0]",14.5,213.875,8-<16,128-<512,0,0.706640625,0.7865740740740741
f13-g08,13,ta-ta,"[1022.0, 1070.0, 1054.0, 1087.0]","[255.5, 267.5, 263.5, 271.75]",4.25,34.0,4-<8,32-<128,0,0.2703125,0.49930555555555556
f14-g00,14,large_launcher,"[3611.0, 1226.0, 3767.0, 1336.0]","[902.75, 306.5, 941.75, 334.0]",27.5,1072.5,16-<32,512-<2048,0,0.9606770833333333,0.5930555555555556
f14-g01,14,spacecraft,"[1483.0, 1539.0, 1529.0, 1588.0]","[370.75, 384.75, 382.25, 397.0]",11.5,140.875,8-<16,128-<512,0,0.3921875,0.7238425925925925
f14-g02,14,jet_plane,"[2220.0, 556.0, 2297.0, 638.0]","[555.0, 139.0, 574.25, 159.5]",19.25,394.625,16-<32,128-<512,0,0.5881510416666667,0.2763888888888889
f14-g03,14,large_tower,"[3476.0, 407.0, 3538.0, 472.0]","[869.0, 101.75, 884.5, 118.0]",15.5,251.875,8-<16,128-<512,0,0.91328125,0.20347222222222222
f14-g04,14,medium_launcher,"[3719.0, 0.0, 3765.0, 17.0]","[929.75, 0.0, 941.25, 4.25]",4.25,48.875,4-<8,32-<128,1,0.9744791666666667,0.003935185185185185
f14-g05,14,small_launcher,"[1775.0, 1051.0, 1797.0, 1081.0]","[443.75, 262.75, 449.25, 270.25]",5.5,41.25,4-<8,32-<128,0,0.46510416666666665,0.4935185185185185
f14-g06,14,tank,"[787.0, 756.0, 838.0, 804.0]","[196.75, 189.0, 209.5, 201.0]",12.0,153.0,8-<16,128-<512,0,0.21158854166666666,0.3611111111111111
f14-g07,14,helicopter,"[2267.0, 1808.0, 2388.0, 1908.0]","[566.75, 452.0, 597.0, 477.0]",25.0,756.25,16-<32,512-<2048,0,0.6061197916666666,0.8601851851851852
f14-g08,14,small_tower,"[2690.0, 1745.0, 2750.0, 1803.0]","[672.5, 436.25, 687.5, 450.75]",14.5,217.5,8-<16,128-<512,0,0.7083333333333334,0.8212962962962963
f14-g09,14,ta-ta,"[1015.0, 1136.0, 1048.0, 1153.0]","[253.75, 284.0, 262.0, 288.25]",4.25,35.0625,4-<8,32-<128,0,0.26861979166666666,0.5298611111111111
f15-g00,15,large_launcher,"[3623.0, 1295.0, 3781.0, 1406.0]","[905.75, 323.75, 945.25, 351.5]",27.75,1096.125,16-<32,512-<2048,0,0.9640625,0.6252314814814814
f15-g01,15,spacecraft,"[1480.0, 1611.0, 1526.0, 1661.0]","[370.0, 402.75, 381.5, 415.25]",11.5,143.75,8-<16,128-<512,0,0.39140625,0.7574074074074074
f15-g02,15,jet_plane,"[2222.0, 616.0, 2300.0, 698.0]","[555.5, 154.0, 575.0, 174.5]",19.5,399.75,16-<32,128-<512,0,0.5888020833333333,0.30416666666666664
f15-g03,15,large_tower,"[3487.0, 467.0, 3549.0, 531.0]","[871.75, 116.75, 887.25, 132.75]",15.5,248.0,8-<16,128-<512,0,0.9161458333333333,0.2310185185185185
f15-g04,15,medium_launcher,"[3730.0, 25.0, 3777.0, 69.0]","[932.5, 6.25, 944.25, 17.25]",11.0,129.25,8-<16,128-<512,0,0.9774739583333333,0.02175925925925926
f15-g05,15,small_launcher,"[1773.0, 1117.0, 1796.0, 1147.0]","[443.25, 279.25, 449.0, 286.75]",5.75,43.125,4-<8,32-<128,0,0.4647135416666667,0.524074074074074
f15-g06,15,tank,"[779.0, 818.0, 830.0, 867.0]","[194.75, 204.5, 207.5, 216.75]",12.25,156.1875,8-<16,128-<512,0,0.20950520833333333,0.3900462962962963
f15-g07,15,helicopter,"[2269.0, 1884.0, 2391.0, 1985.0]","[567.25, 471.0, 597.75, 496.25]",25.25,770.125,16-<32,512-<2048,0,0.6067708333333334,0.8956018518518518
f15-g08,15,small_tower,"[2696.0, 1821.0, 2756.0, 1879.0]","[674.0, 455.25, 689.0, 469.75]",14.5,217.5,8-<16,128-<512,0,0.7098958333333333,0.8564814814814815
f15-g09,15,ta-ta,"[1008.0, 1203.0, 1042.0, 1219.0]","[252.0, 300.75, 260.5, 304.75]",4.0,34.0,4-<8,32-<128,0,0.2669270833333333,0.5606481481481481
f16-g00,16,large_launcher,"[3636.0, 1364.0, 3795.0, 1476.0]","[909.0, 341.0, 948.75, 369.0]",28.0,1113.0,16-<32,512-<2048,0,0.967578125,0.6574074074074074
f16-g01,16,spacecraft,"[1476.0, 1685.0, 1523.0, 1734.0]","[369.0, 421.25, 380.75, 433.5]",11.75,143.9375,8-<16,128-<512,0,0.3904947916666667,0.7914351851851852
f16-g02,16,jet_plane,"[2224.0, 676.0, 2303.0, 759.0]","[556.0, 169.0, 575.75, 189.75]",19.75,409.8125,16-<32,128-<512,0,0.589453125,0.33217592592592593
f16-g03,16,large_tower,"[3498.0, 527.0, 3561.0, 592.0]","[874.5, 131.75, 890.25, 148.0]",15.75,255.9375,8-<16,128-<512,0,0.919140625,0.2590277777777778
f16-g04,16,medium_launcher,"[3742.0, 78.0, 3789.0, 123.0]","[935.5, 19.5, 947.25, 30.75]",11.25,132.1875,8-<16,128-<512,0,0.9805989583333333,0.04652777777777778
f16-g05,16,small_launcher,"[1772.0, 1184.0, 1795.0, 1213.0]","[443.0, 296.0, 448.75, 303.25]",5.75,41.6875,4-<8,32-<128,0,0.464453125,0.5548611111111111
f16-g06,16,tank,"[771.0, 881.0, 822.0, 930.0]","[192.75, 220.25, 205.5, 232.5]",12.25,156.1875,8-<16,128-<512,0,0.207421875,0.41921296296296295
f16-g07,16,helicopter,"[2272.0, 1962.0, 2395.0, 2064.0]","[568.0, 490.5, 598.75, 516.0]",25.5,784.125,16-<32,512-<2048,0,0.6076822916666667,0.9319444444444445
f16-g08,16,small_tower,"[2702.0, 1899.0, 2763.0, 1956.0]","[675.5, 474.75, 690.75, 489.0]",14.25,217.3125,8-<16,128-<512,0,0.7115885416666666,0.8923611111111112
f16-g09,16,ta-ta,"[1002.0, 1271.0, 1035.0, 1287.0]","[250.5, 317.75, 258.75, 321.75]",4.0,33.0,4-<8,32-<128,0,0.265234375,0.5921296296296297
f17-g00,17,large_launcher,"[3649.0, 1435.0, 3809.0, 1547.0]","[912.25, 358.75, 952.25, 386.75]",28.0,1120.0,16-<32,512-<2048,0,0.97109375,0.6902777777777778
f17-g01,17,spacecraft,"[1473.0, 1759.0, 1520.0, 1809.0]","[368.25, 439.75, 380.0, 452.25]",11.75,146.875,8-<16,128-<512,0,0.38971354166666666,0.825925925925926
f17-g02,17,jet_plane,"[2226.0, 737.0, 2305.0, 821.0]","[556.5, 184.25, 576.25, 205.25]",19.75,414.75,16-<32,128-<512,0,0.5899739583333333,0.36064814814814816
f17-g03,17,large_tower,"[3509.0, 589.0, 3572.0, 652.0]","[877.25, 147.25, 893.0, 163.0]",15.75,248.0625,8-<16,128-<512,0,0.9220052083333333,0.28726851851851853
f17-g04,17,medium_launcher,"[3754.0, 132.0, 3801.0, 177.0]","[938.5, 33.0, 950.25, 44.25]",11.25,132.1875,8-<16,128-<512,0,0.9837239583333334,0.07152777777777777
f17-g05,17,small_launcher,"[1771.0, 1251.0, 1794.0, 1281.0]","[442.75, 312.75, 448.5, 320.25]",5.75,43.125,4-<8,32-<128,0,0.4641927083333333,0.5861111111111111
f17-g06,17,tank,"[763.0, 945.0, 815.0, 994.0]","[190.75, 236.25, 203.75, 248.5]",12.25,159.25,8-<16,128-<512,0,0.20546875,0.44884259259259257
f17-g07,17,helicopter,"[2275.0, 2041.0, 2399.0, 2143.0]","[568.75, 510.25, 599.75, 535.75]",25.5,790.5,16-<32,512-<2048,0,0.60859375,0.9685185185185186
f17-g08,17,small_tower,"[2708.0, 1977.0, 2769.0, 2034.0]","[677.0, 494.25, 692.25, 508.5]",14.25,217.3125,8-<16,128-<512,0,0.7131510416666667,0.9284722222222223
f17-g09,17,ta-ta,"[995.0, 1339.0, 1029.0, 1355.0]","[248.75, 334.75, 257.25, 338.75]",4.0,34.0,4-<8,32-<128,0,0.2635416666666667,0.6236111111111111
f18-g00,18,large_launcher,"[3662.0, 1507.0, 3823.0, 1619.0]","[915.5, 376.75, 955.75, 404.75]",28.0,1127.0,16-<32,512-<2048,0,0.974609375,0.7236111111111111
f18-g01,18,spacecraft,"[1470.0, 1835.0, 1517.0, 1885.0]","[367.5, 458.75, 379.25, 471.25]",11.75,146.875,8-<16,128-<512,0,0.38893229166666665,0.8611111111111112
f18-g02,18,jet_plane,"[2228.0, 799.0, 2308.0, 883.0]","[557.0, 199.75, 577.0, 220.75]",20.0,420.0,16-<32,128-<512,0,0.590625,0.38935185185185184
f18-g03,18,large_tower,"[3520.0, 651.0, 3584.0, 714.0]","[880.0, 162.75, 896.0, 178.5]",15.75,252.0,8-<16,128-<512,0,0.925,0.3159722222222222
f18-g04,18,medium_launcher,"[3766.0, 187.0, 3814.0, 232.0]","[941.5, 46.75, 953.5, 58.0]",11.25,135.0,8-<16,128-<512,0,0.9869791666666666,0.09699074074074074
f18-g05,18,small_launcher,"[1770.0, 1320.0, 1793.0, 1350.0]","[442.5, 330.0, 448.25, 337.5]",5.75,43.125,4-<8,32-<128,0,0.46393229166666666,0.6180555555555556
f18-g06,18,tank,"[754.0, 1010.0, 807.0, 1060.0]","[188.5, 252.5, 201.75, 265.0]",12.5,165.625,8-<16,128-<512,0,0.20325520833333333,0.4791666666666667
f18-g07,18,helicopter,"[2278.0, 2121.0, 2403.0, 2159.0]","[569.5, 530.25, 600.75, 539.75]",9.5,296.875,8-<16,128-<512,1,0.6095052083333333,0.9907407407407407
f18-g08,18,small_tower,"[2714.0, 2057.0, 2776.0, 2114.0]","[678.5, 514.25, 694.0, 528.5]",14.25,220.875,8-<16,128-<512,0,0.71484375,0.9655092592592592
f18-g09,18,ta-ta,"[988.0, 1409.0, 1022.0, 1425.0]","[247.0, 352.25, 255.5, 356.25]",4.0,34.0,4-<8,32-<128,0,0.26171875,0.6560185185185186
f19-g00,19,large_launcher,"[3675.0, 1580.0, 3838.0, 1693.0]","[918.75, 395.0, 959.5, 423.25]",28.25,1151.1875,16-<32,512-<2048,0,0.9782552083333333,0.7576388888888889
f19-g01,19,spacecraft,"[1466.0, 1912.0, 1514.0, 1962.0]","[366.5, 478.0, 378.5, 490.5]",12.0,150.0,8-<16,128-<512,0,0.3880208333333333,0.8967592592592593
f19-g02,19,jet_plane,"[2230.0, 862.0, 2311.0, 947.0]","[557.5, 215.5, 577.75, 236.75]",20.25,430.3125,16-<32,128-<512,0,0.5912760416666667,0.41875
f19-g03,19,large_tower,"[3532.0, 715.0, 3596.0, 777.0]","[883.0, 178.75, 899.0, 194.25]",15.5,248.0,8-<16,128-<512,0,0.928125,0.3453703703703704
f19-g04,19,medium_launcher,"[3779.0, 242.0, 3827.0, 288.0]","[944.75, 60.5, 956.75, 72.0]",11.5,138.0,8-<16,128-<512,0,0.9903645833333333,0.12268518518518519
f19-g05,19,small_launcher,"[1769.0, 1390.0, 1792.0, 1419.0]","[442.25, 347.5, 448.0, 354.75]",5.75,41.6875,4-<8,32-<128,0,0.463671875,0.6502314814814815
f19-g06,19,tank,"[746.0, 1076.0, 799.0, 1126.0]","[186.5, 269.0, 199.75, 281.5]",12.5,165.625,8-<16,128-<512,0,0.201171875,0.5097222222222222
f19-g07,19,small_tower,"[2720.0, 2138.0, 2783.0, 2159.0]","[680.0, 534.5, 695.75, 539.75]",5.25,82.6875,4-<8,32-<128,1,0.7165364583333333,0.9946759259259259
f19-g08,19,hangar,"[161.0, 0.0, 343.0, 6.0]","[40.25, 0.0, 85.75, 1.5]",1.5,68.25,<4,32-<128,1,0.065625,0.001388888888888889
f19-g09,19,ta-ta,"[981.0, 1480.0, 1015.0, 1495.0]","[245.25, 370.0, 253.75, 373.75]",3.75,31.875,<4,<32,0,0.2598958333333333,0.6886574074074074
f20-g00,20,large_launcher,"[3688.0, 1654.0, 3839.0, 1767.0]","[922.0, 413.5, 959.75, 441.75]",28.25,1066.4375,16-<32,512-<2048,1,0.980078125,0.7918981481481482
f20-g01,20,spacecraft,"[1462.0, 1991.0, 1511.0, 2040.0]","[365.5, 497.75, 377.75, 510.0]",12.25,150.0625,8-<16,128-<512,0,0.387109375,0.9331018518518519
f20-g02,20,jet_plane,"[2233.0, 926.0, 2314.0, 1011.0]","[558.25, 231.5, 578.5, 252.75]",20.25,430.3125,16-<32,128-<512,0,0.5920572916666667,0.44837962962962963
f20-g03,20,large_tower,"[3543.0, 779.0, 3609.0, 840.0]","[885.75, 194.75, 902.25, 210.0]",15.25,251.625,8-<16,128-<512,0,0.93125,0.3747685185185185
f20-g04,20,medium_launcher,"[3791.0, 298.0, 3839.0, 344.0]","[947.75, 74.5, 959.75, 86.0]",11.5,138.0,8-<16,128-<512,1,0.9934895833333334,0.1486111111111111
f20-g05,20,small_launcher,"[1768.0, 1460.0, 1791.0, 1490.0]","[442.0, 365.0, 447.75, 372.5]",5.75,43.125,4-<8,32-<128,0,0.46341145833333336,0.6828703703703703
f20-g06,20,tank,"[737.0, 1143.0, 790.0, 1193.0]","[184.25, 285.75, 197.5, 298.25]",12.5,165.625,8-<16,128-<512,0,0.198828125,0.5407407407407407
f20-g07,20,hangar,"[149.0, 0.0, 333.0, 58.0]","[37.25, 0.0, 83.25, 14.5]",14.5,667.0,8-<16,512-<2048,1,0.06276041666666667,0.013425925925925926
f20-g08,20,ta-ta,"[974.0, 1552.0, 1009.0, 1567.0]","[243.5, 388.0, 252.25, 391.75]",3.75,32.8125,<4,32-<128,0,0.258203125,0.7219907407407408
f20-g09,20,medium_plane,"[610.0, 0.0, 665.0, 32.0]","[152.5, 0.0, 166.25, 8.0]",8.0,110.0,8-<16,32-<128,1,0.166015625,0.007407407407407408
f21-g00,21,large_launcher,"[3702.0, 1730.0, 3839.0, 1843.0]","[925.5, 432.5, 959.75, 460.75]",28.25,967.5625,16-<32,512-<2048,1,0.9819010416666667,0.8270833333333333
f21-g01,21,spacecraft,"[1459.0, 2070.0, 1507.0, 2120.0]","[364.75, 517.5, 376.75, 530.0]",12.0,150.0,8-<16,128-<512,0,0.38619791666666664,0.9699074074074074
f21-g02,21,jet_plane,"[2235.0, 990.0, 2316.0, 1077.0]","[558.75, 247.5, 579.0, 269.25]",20.25,440.4375,16-<32,128-<512,0,0.592578125,0.47847222222222224
f21-g03,21,large_tower,"[3555.0, 844.0, 3621.0, 905.0]","[888.75, 211.0, 905.25, 226.25]",15.25,251.625,8-<16,128-<512,0,0.934375,0.4048611111111111
f21-g04,21,medium_launcher,"[3804.0, 355.0, 3839.0, 401.0]","[951.0, 88.75, 959.75, 100.25]",8.75,100.625,8-<16,32-<128,1,0.9951822916666667,0.175
f21-g05,21,small_launcher,"[1767.0, 1532.0, 1790.0, 1562.0]","[441.75, 383.0, 447.5, 390.5]",5.75,43.125,4-<8,32-<128,0,0.46315104166666665,0.7162037037037037
f21-g06,21,tank,"[729.0, 1210.0, 782.0, 1261.0]","[182.25, 302.5, 195.5, 315.25]",12.75,168.9375,8-<16,128-<512,0,0.19674479166666667,0.5719907407407407
f21-g07,21,hangar,"[138.0, 0.0, 322.0, 110.0]","[34.5, 0.0, 80.5, 27.5]",27.5,1265.0,16-<32,512-<2048,1,0.059895833333333336,0.02546296296296296
f21-g08,21,ta-ta,"[967.0, 1625.0, 1002.0, 1640.0]","[241.75, 406.25, 250.5, 410.0]",3.75,32.8125,<4,32-<128,0,0.25638020833333336,0.7557870370370371
f21-g09,21,medium_plane,"[602.0, 37.0, 657.0, 85.0]","[150.5, 9.25, 164.25, 21.25]",12.0,165.0,8-<16,128-<512,0,0.16393229166666667,0.02824074074074074
f22-g00,22,large_launcher,"[3715.0, 1806.0, 3839.0, 1920.0]","[928.75, 451.5, 959.75, 480.0]",28.5,883.5,16-<32,512-<2048,1,0.98359375,0.8625
f22-g01,22,spacecraft,"[1455.0, 2151.0, 1504.0, 2159.0]","[363.75, 537.75, 376.0, 539.75]",2.0,24.5,<4,<32,1,0.38528645833333336,0.9976851851851852
f22-g02,22,jet_plane,"[2237.0, 1056.0, 2319.0, 1143.0]","[559.25, 264.0, 579.75, 285.75]",20.5,445.875,16-<32,128-<512,0,0.5932291666666667,0.5090277777777777
f22-g03,22,large_tower,"[3567.0, 910.0, 3634.0, 970.0]","[891.75, 227.5, 908.5, 242.5]",15.0,251.25,8-<16,128-<512,0,0.9376302083333333,0.4351851851851852
f22-g04,22,medium_launcher,"[3817.0, 413.0, 3839.0, 459.0]","[954.25, 103.25, 959.75, 114.75]",5.5,63.25,4-<8,32-<128,1,0.996875,0.20185185185185187
f22-g05,22,small_launcher,"[1766.0, 1605.0, 1789.0, 1634.0]","[441.5, 401.25, 447.25, 408.5]",5.75,41.6875,4-<8,32-<128,0,0.462890625,0.7497685185185186
f22-g06,22,tank,"[720.0, 1279.0, 774.0, 1330.0]","[180.0, 319.75, 193.5, 332.5]",12.75,172.125,8-<16,128-<512,0,0.19453125,0.6039351851851852
f22-g07,22,hangar,"[126.0, 36.0, 312.0, 164.0]","[31.5, 9.0, 78.0, 41.0]",32.0,1488.0,>=32,512-<2048,0,0.05703125,0.046296296296296294
f22-g08,22,ta-ta,"[960.0, 1699.0, 995.0, 1713.0]","[240.0, 424.75, 248.75, 428.25]",3.5,30.625,<4,<32,0,0.2545572916666667,0.7898148148148149
f22-g09,22,medium_plane,"[593.0, 90.0, 649.0, 139.0]","[148.25, 22.5, 162.25, 34.75]",12.25,171.5,8-<16,128-<512,0,0.16171875,0.053009259259259256
f23-g00,23,large_launcher,"[3729.0, 1884.0, 3839.0, 1998.0]","[932.25, 471.0, 959.75, 499.5]",27.5,783.75,16-<32,512-<2048,1,0.9854166666666667,0.8986111111111111
f23-g01,23,jet_plane,"[2239.0, 1123.0, 2322.0, 1210.0]","[559.75, 280.75, 580.5, 302.5]",20.75,451.3125,16-<32,128-<512,0,0.5938802083333333,0.5400462962962963
f23-g02,23,large_tower,"[3579.0, 978.0, 3647.0, 1037.0]","[894.75, 244.5, 911.75, 259.25]",14.75,250.75,8-<16,128-<512,0,0.9408854166666667,0.4664351851851852
f23-g03,23,medium_launcher,"[3830.0, 472.0, 3839.0, 518.0]","[957.5, 118.0, 959.75, 129.5]",2.25,25.875,<4,<32,1,0.9985677083333333,0.22916666666666666
f23-g04,23,small_launcher,"[1765.0, 1679.0, 1788.0, 1708.0]","[441.25, 419.75, 447.0, 427.0]",5.75,41.6875,4-<8,32-<128,0,0.46263020833333335,0.7840277777777778
f23-g05,23,tank,"[711.0, 1349.0, 765.0, 1400.0]","[177.75, 337.25, 191.25, 350.0]",12.75,172.125,8-<16,128-<512,0,0.1921875,0.6363425925925926
f23-g06,23,hangar,"[114.0, 89.0, 302.0, 218.0]","[28.5, 22.25, 75.5, 54.5]",32.25,1515.75,>=32,512-<2048,0,0.05416666666666667,0.07106481481481482
f23-g07,23,ta-ta,"[952.0, 1774.0, 988.0, 1788.0]","[238.0, 443.5, 247.0, 447.0]",3.5,31.5,<4,<32,0,0.2526041666666667,0.8245370370370371
f23-g08,23,medium_plane,"[584.0, 144.0, 640.0, 193.0]","[146.0, 36.0, 160.0, 48.25]",12.25,171.5,8-<16,128-<512,0,0.159375,0.07800925925925926
f24-g00,24,large_launcher,"[3744.0, 1963.0, 3839.0, 2077.0]","[936.0, 490.75, 959.75, 519.25]",23.75,676.875,16-<32,512-<2048,1,0.9873697916666667,0.9351851851851852
f24-g01,24,jet_plane,"[2242.0, 1190.0, 2325.0, 1279.0]","[560.5, 297.5, 581.25, 319.75]",20.75,461.6875,16-<32,128-<512,0,0.5946614583333333,0.5715277777777777
f24-g02,24,large_tower,"[3591.0, 1046.0, 3660.0, 1104.0]","[897.75, 261.5, 915.0, 276.0]",14.5,250.125,8-<16,128-<512,0,0.944140625,0.4976851851851852
f24-g03,24,small_launcher,"[1763.0, 1754.0, 1787.0, 1783.0]","[440.75, 438.5, 446.75, 445.75]",6.0,43.5,4-<8,32-<128,0,0.4622395833333333,0.81875
f24-g04,24,tank,"[702.0, 1420.0, 756.0, 1472.0]","[175.5, 355.0, 189.0, 368.0]",13.0,175.5,8-<16,128-<512,0,0.18984375,0.6694444444444444
f24-g05,24,hangar,"[102.0, 143.0, 291.0, 273.0]","[25.5, 35.75, 72.75, 68.25]",32.5,1535.625,>=32,512-<2048,0,0.051171875,0.0962962962962963
f24-g06,24,ta-ta,"[945.0, 1851.0, 981.0, 1865.0]","[236.25, 462.75, 245.25, 466.25]",3.5,31.5,<4,<32,0,0.25078125,0.8601851851851852
f24-g07,24,medium_plane,"[575.0, 199.0, 632.0, 248.0]","[143.75, 49.75, 158.0, 62.0]",12.25,174.5625,8-<16,128-<512,0,0.15716145833333334,0.10347222222222222
