target_class,start_frame,end_frame,x,y,dx,dy,shared_dx,shared_dy,residual_dx,residual_dy,raw_magnitude,residual_magnitude,width_ratio,height_ratio,boundary
spacecraft,12,13,1512.5,1421.5,-3.5,70.0,2.5,65.0,-6.0,5.0,70.08744538075275,7.810249675906654,1.0222222222222221,1.0,0
spacecraft,13,14,1509.0,1491.5,-3.0,72.0,2.0,66.0,-5.0,6.0,72.06247289678588,7.810249675906654,1.0,1.0,0
spacecraft,14,15,1506.0,1563.5,-3.0,72.5,2.5,66.25,-5.5,6.25,72.56204241888454,8.325412902673357,1.0,1.0204081632653061,0
spacecraft,15,16,1503.0,1636.0,-3.5,73.5,3.0,67.25,-6.5,6.25,73.58328614570023,9.017344398435716,1.0217391304347827,0.98,0
spacecraft,16,17,1499.5,1709.5,-3.0,74.5,2.75,67.75,-5.75,6.75,74.56037821792484,8.8670739254841,1.0,1.0204081632653061,0
spacecraft,17,18,1496.5,1784.0,-3.0,76.0,3.0,67.25,-6.0,8.75,76.05918747922567,10.609547586961472,1.0,1.0,0
spacecraft,18,19,1493.5,1860.0,-3.5,77.0,2.5,66.0,-6.0,11.0,77.07950440940834,12.529964086141668,1.0212765957446808,1.0,0
spacecraft,19,20,1490.0,1937.0,-3.5,78.5,-1.0,67.0,-2.5,11.5,78.57798673928977,11.76860229593982,1.0208333333333333,0.98,0
spacecraft,20,21,1486.5,2015.5,-3.5,79.5,-2.25,66.25,-1.25,13.25,79.57700672933106,13.308831654206164,0.9795918367346939,1.0204081632653061,0
spacecraft,21,22,1483.0,2095.0,-3.5,60.0,-2.25,65.75,-1.25,-5.75,60.10199663904686,5.88430114796991,1.0208333333333333,0.16,1
ta-ta,0,1,1112.5,302.5,-5.0,55.0,1.0,62.0,-6.0,-7.0,55.226805085936306,9.219544457292887,1.0,1.0,0
ta-ta,1,2,1107.5,357.5,-5.5,55.5,0.25,61.5,-5.75,-6.0,55.7718567021038,8.31038506929733,1.0344827586206897,0.9473684210526315,0
ta-ta,2,3,1102.0,413.0,-5.0,56.5,0.0,62.0,-5.0,-5.5,56.720807469569756,7.433034373659253,1.0,1.0555555555555556,0
ta-ta,3,4,1097.0,469.5,-6.0,57.0,1.0,62.0,-7.0,-5.0,57.3149195236284,8.602325267042627,1.0,1.0,0
ta-ta,4,5,1091.0,526.5,-5.5,58.5,1.0,63.0,-6.5,-4.5,58.757978181690355,7.905694150420948,1.0333333333333334,0.9473684210526315,0
ta-ta,5,6,1085.5,585.0,-6.0,58.5,1.0,63.0,-7.0,-4.5,58.80688735173798,8.32165848854662,1.0,1.0555555555555556,0
ta-ta,6,7,1079.5,643.5,-5.0,59.5,1.5,63.25,-6.5,-3.75,59.70971445250764,7.504165509901817,1.0,0.9473684210526315,0
ta-ta,7,8,1074.5,703.0,-6.0,60.5,1.75,63.75,-7.75,-3.25,60.79679267856159,8.403868156985805,1.0,0.9444444444444444,0
ta-ta,8,9,1068.5,763.5,-6.0,61.5,2.5,61.5,-8.5,0.0,61.79198977213794,8.5,1.0,1.0588235294117647,0
ta-ta,9,10,1062.5,825.0,-6.5,62.0,2.0,62.0,-8.5,0.0,62.33979467402824,8.5,1.032258064516129,1.0,0
ta-ta,10,11,1056.0,887.0,-6.0,63.0,0.75,64.0,-6.75,-1.0,63.28506932918696,6.823672031978091,1.0,1.0,0
ta-ta,11,12,1050.0,950.0,-6.0,63.5,0.75,64.75,-6.75,-1.25,63.78283468144074,6.864765108872991,1.0,0.9444444444444444,0
ta-ta,12,13,1044.0,1013.5,-6.0,65.0,2.5,65.0,-8.5,0.0,65.27633568147036,8.5,1.0,1.0,0
ta-ta,13,14,1038.0,1078.5,-6.5,66.0,2.0,66.0,-8.5,0.0,66.31930337390465,8.5,1.03125,1.0,0
ta-ta,14,15,1031.5,1144.5,-6.5,66.5,2.5,66.25,-9.0,0.25,66.81691402631522,9.003471552684553,1.0303030303030303,0.9411764705882353,0
ta-ta,15,16,1025.0,1211.0,-6.5,68.0,3.0,67.25,-9.5,0.75,68.30995535059293,9.529559276272959,0.9705882352941176,1.0,0
ta-ta,16,17,1018.5,1279.0,-6.5,68.0,2.75,67.75,-9.25,0.25,68.30995535059293,9.253377761660873,1.0303030303030303,1.0,0
ta-ta,17,18,1012.0,1347.0,-7.0,70.0,3.0,67.25,-10.0,2.75,70.34912934784623,10.37123425634577,1.0,1.0,0
ta-ta,18,19,1005.0,1417.0,-7.0,70.5,2.5,66.0,-9.5,4.5,70.84666541200087,10.51189802081432,1.0,0.9375,0
ta-ta,19,20,998.0,1487.5,-6.5,72.0,-1.0,67.0,-5.5,5.0,72.29280738773394,7.433034373659253,1.0294117647058822,1.0,0
ta-ta,20,21,991.5,1559.5,-7.0,73.0,-2.25,66.25,-4.75,6.75,73.33484846919642,8.253787009609589,1.0,1.0,0
ta-ta,21,22,984.5,1632.5,-7.0,73.5,-2.25,65.75,-4.75,7.75,73.83258088405145,9.089829481348922,1.0,0.9333333333333333,0
ta-ta,22,23,977.5,1706.0,-7.5,75.0,-1.0,67.5,-6.5,7.5,75.37406715840667,9.924716620639604,1.0285714285714285,1.0,0
ta-ta,23,24,970.0,1781.0,-7.0,77.0,-4.25,69.75,-2.75,7.25,77.31752712031083,7.754031209635412,1.0,1.0,0
tank,0,1,911.0,6.5,-6.0,36.0,1.0,62.0,-7.0,-26.0,36.49657518178932,26.92582403567252,1.0,3.3076923076923075,1
tank,1,2,905.0,42.5,-6.5,52.5,0.25,61.5,-6.75,-9.0,52.90085065478626,11.25,1.0217391304347827,1.0232558139534884,0
tank,2,3,898.5,95.0,-7.0,53.0,0.0,62.0,-7.0,-9.0,53.46026561849464,11.40175425099138,1.0,1.0,0
tank,3,4,891.5,148.0,-6.5,54.0,1.0,62.0,-7.5,-8.0,54.389796837274545,10.965856099730654,1.0212765957446808,1.0,0
tank,4,5,885.0,202.0,-7.0,54.0,1.0,63.0,-8.0,-9.0,54.45181356024793,12.041594578792296,1.0,1.0,0
tank,5,6,878.0,256.0,-7.0,55.5,1.0,63.0,-8.0,-7.5,55.939699677420506,10.965856099730654,1.0,1.0227272727272727,0
tank,6,7,871.0,311.5,-7.0,56.0,1.5,63.25,-8.5,-7.25,56.43580423808985,11.171951485752166,1.0,1.0,0
tank,7,8,864.0,367.5,-7.0,56.5,1.75,63.75,-8.75,-7.25,56.931976954959154,11.363318177363512,1.0,1.0222222222222221,0
tank,8,9,857.0,424.0,-7.5,57.0,2.5,61.5,-10.0,-4.5,57.4913036902104,10.965856099730654,1.0208333333333333,1.0,0
tank,9,10,849.5,481.0,-7.0,58.5,2.0,62.0,-9.0,-3.5,58.91731494221372,9.656603957913983,1.0,1.0217391304347827,0
tank,10,11,842.5,539.5,-7.5,59.0,0.75,64.0,-8.25,-5.0,59.47478457295999,9.64689069078737,1.0204081632653061,1.0,0
tank,11,12,835.0,598.5,-7.0,60.0,0.75,64.75,-7.75,-4.75,60.40695324215582,9.089829481348922,1.0,1.0,0
tank,12,13,828.0,658.5,-8.0,60.0,2.5,65.0,-10.5,-5.0,60.530983801686226,11.629703349613008,1.0,1.0,0
tank,13,14,820.0,718.5,-7.5,61.5,2.0,66.0,-9.5,-4.5,61.95562928419015,10.51189802081432,1.02,1.0212765957446808,0
tank,14,15,812.5,780.0,-8.0,62.5,2.5,66.25,-10.5,-3.75,63.00991985394046,11.149551560488879,1.0,1.0208333333333333,0
tank,15,16,804.5,842.5,-8.0,63.0,3.0,67.25,-11.0,-4.25,63.50590523722971,11.792476415070755,1.0,1.0,0
tank,16,17,796.5,905.5,-7.5,64.0,2.75,67.75,-10.25,-3.75,64.43795465407014,10.914439976471536,1.0196078431372548,1.0,0
tank,17,18,789.0,969.5,-8.5,65.5,3.0,67.25,-11.5,-1.75,66.04922406811453,11.632390124131842,1.0192307692307692,1.0204081632653061,0
tank,18,19,780.5,1035.0,-8.0,66.0,2.5,66.0,-10.5,0.0,66.48308055437865,10.5,1.0,1.0,0
tank,19,20,772.5,1101.0,-9.0,67.0,-1.0,67.0,-8.0,0.0,67.60177512462228,8.0,1.0,1.0,0
tank,20,21,763.5,1168.0,-8.0,67.5,-2.25,66.25,-5.75,1.25,67.97242087788253,5.88430114796991,1.0,1.02,0
tank,21,22,755.5,1235.5,-8.5,69.0,-2.25,65.75,-6.25,3.25,69.52157938367051,7.044501401802686,1.0188679245283019,1.0,0
tank,22,23,747.0,1304.5,-9.0,70.0,-1.0,67.5,-8.0,2.5,70.57619995437555,8.381527307120106,1.0,1.0,0
tank,23,24,738.0,1374.5,-9.0,71.5,-4.25,69.75,-4.75,1.75,72.06420748193932,5.062114182829147,1.0,1.0196078431372548,0
