frame,class,x1,y1,x2,y2,width,height,area,width_fraction,height_fraction,area_fraction,aspect_ratio,cx,cy,edge_left,edge_top,edge_right,edge_bottom,min_edge,boundary_touch,L0_width,L0_height,L0_short,L0_bucket,L1_width,L1_height,L1_short,L1_bucket,L2_width,L2_height,L2_short,L2_bucket
9,condor,2709,2039,2888,2159,179,120,21480,0.046614583333333334,0.05555555555555555,0.002589699074074074,1.4916666666666667,2798.5,2099.0,2709,2039,952,1,1,1,44.75,30.0,30.0,16-32,89.5,60.0,60.0,>32,179.0,120.0,120.0,>32
9,jet_plane,2210,271,2285,349,75,78,5850,0.01953125,0.03611111111111111,0.0007052951388888889,0.9615384615384616,2247.5,310.0,2210,271,1555,1811,271,0,18.75,19.5,18.75,16-32,37.5,39.0,37.5,>32,75.0,78.0,75.0,>32
9,large_tower,3424,120,3483,188,59,68,4012,0.015364583333333333,0.03148148148148148,0.00048369984567901236,0.8676470588235294,3453.5,154.0,3424,120,357,1972,120,0,14.75,17.0,14.75,8-<16,29.5,34.0,29.5,16-32,59.0,68.0,59.0,>32
9,small_launcher,1780,736,1801,766,21,30,630,0.00546875,0.013888888888888888,7.595486111111111e-05,0.7,1790.5,751.0,1780,736,2039,1394,736,0,5.25,7.5,5.25,4-<8,10.5,15.0,10.5,8-<16,21.0,30.0,21.0,16-32
9,tank,825,458,874,504,49,46,2254,0.012760416666666666,0.021296296296296296,0.00027174961419753084,1.065217391304348,849.5,481.0,825,458,2966,1656,458,0,12.25,11.5,11.5,8-<16,24.5,23.0,23.0,16-32,49.0,46.0,46.0,>32
9,helicopter,2254,1443,2370,1538,116,95,11020,0.030208333333333334,0.04398148148148148,0.0013286072530864198,1.2210526315789474,2312.0,1490.5,2254,1443,1470,622,622,0,29.0,23.75,23.75,16-32,58.0,47.5,47.5,>32,116.0,95.0,95.0,>32
9,small_tower,2662,1382,2719,1441,57,59,3363,0.01484375,0.027314814814814816,0.00040545428240740743,0.9661016949152542,2690.5,1411.5,2662,1382,1121,719,719,0,14.25,14.75,14.25,8-<16,28.5,29.5,28.5,16-32,57.0,59.0,57.0,>32
9,ta-ta,1047,816,1078,834,31,18,558,0.008072916666666667,0.008333333333333333,6.727430555555556e-05,1.7222222222222223,1062.5,825.0,1047,816,2762,1326,816,0,7.75,4.5,4.5,4-<8,15.5,9.0,9.0,8-<16,31.0,18.0,18.0,16-32
10,jammer,1463,1972,1497,2016,34,44,1496,0.008854166666666666,0.020370370370370372,0.00018036265432098766,0.7727272727272727,1480.0,1994.0,1463,1972,2343,144,144,0,8.5,11.0,8.5,8-<16,17.0,22.0,17.0,16-32,34.0,44.0,34.0,>32
10,large_launcher,3563,961,3714,1069,151,108,16308,0.039322916666666666,0.05,0.001966145833333333,1.3981481481481481,3638.5,1015.0,3563,961,126,1091,126,0,37.75,27.0,27.0,16-32,75.5,54.0,54.0,>32,151.0,108.0,108.0,>32
10,spacecraft,1496,1259,1540,1308,44,49,2156,0.011458333333333333,0.022685185185185187,0.0002599344135802469,0.8979591836734694,1518.0,1283.5,1496,1259,2300,852,852,0,11.0,12.25,11.0,8-<16,22.0,24.5,22.0,16-32,44.0,49.0,44.0,>32
10,condor,2715,2120,2896,2159,181,39,7059,0.047135416666666666,0.018055555555555554,0.0008510561342592593,4.641025641025641,2805.5,2139.5,2715,2120,944,1,1,1,45.25,9.75,9.75,8-<16,90.5,19.5,19.5,16-32,181.0,39.0,39.0,>32
10,jet_plane,2212,327,2287,405,75,78,5850,0.01953125,0.03611111111111111,0.0007052951388888889,0.9615384615384616,2249.5,366.0,2212,327,1553,1755,327,0,18.75,19.5,18.75,16-32,37.5,39.0,37.5,>32,75.0,78.0,75.0,>32
10,large_tower,3434,176,3493,243,59,67,3953,0.015364583333333333,0.031018518518518518,0.00047658661265432097,0.8805970149253731,3463.5,209.5,3434,176,347,1917,176,0,14.75,16.75,14.75,8-<16,29.5,33.5,29.5,16-32,59.0,67.0,59.0,>32
10,small_launcher,1779,798,1800,828,21,30,630,0.00546875,0.013888888888888888,7.595486111111111e-05,0.7,1789.5,813.0,1779,798,2040,1332,798,0,5.25,7.5,5.25,4-<8,10.5,15.0,10.5,8-<16,21.0,30.0,21.0,16-32
10,tank,818,516,867,563,49,47,2303,0.012760416666666666,0.02175925925925926,0.00027765721450617286,1.0425531914893618,842.5,539.5,818,516,2973,1597,516,0,12.25,11.75,11.75,8-<16,24.5,23.5,23.5,16-32,49.0,47.0,47.0,>32
10,helicopter,2256,1514,2374,1610,118,96,11328,0.030729166666666665,0.044444444444444446,0.0013657407407407407,1.2291666666666667,2315.0,1562.0,2256,1514,1466,550,550,0,29.5,24.0,24.0,16-32,59.0,48.0,48.0,>32,118.0,96.0,96.0,>32
10,small_tower,2667,1452,2725,1511,58,59,3422,0.015104166666666667,0.027314814814814816,0.00041256751543209877,0.9830508474576272,2696.0,1481.5,2667,1452,1115,649,649,0,14.5,14.75,14.5,8-<16,29.0,29.5,29.0,16-32,58.0,59.0,58.0,>32
10,ta-ta,1040,878,1072,896,32,18,576,0.008333333333333333,0.008333333333333333,6.944444444444444e-05,1.7777777777777777,1056.0,887.0,1040,878,2768,1264,878,0,8.0,4.5,4.5,4-<8,16.0,9.0,9.0,8-<16,32.0,18.0,18.0,16-32
11,jammer,1460,2051,1494,2095,34,44,1496,0.008854166666666666,0.020370370370370372,0.00018036265432098766,0.7727272727272727,1477.0,2073.0,1460,2051,2346,65,65,0,8.5,11.0,8.5,8-<16,17.0,22.0,17.0,16-32,34.0,44.0,34.0,>32
11,large_launcher,3575,1025,3727,1135,152,110,16720,0.03958333333333333,0.05092592592592592,0.002015817901234568,1.3818181818181818,3651.0,1080.0,3575,1025,113,1025,113,0,38.0,27.5,27.5,16-32,76.0,55.0,55.0,>32,152.0,110.0,110.0,>32
11,spacecraft,1493,1327,1537,1377,44,50,2200,0.011458333333333333,0.023148148148148147,0.0002652391975308642,0.88,1515.0,1352.0,1493,1327,2303,783,783,0,11.0,12.5,11.0,8-<16,22.0,25.0,22.0,16-32,44.0,50.0,44.0,>32
11,jet_plane,2214,383,2290,462,76,79,6004,0.019791666666666666,0.03657407407407407,0.0007238618827160494,0.9620253164556962,2252.0,422.5,2214,383,1550,1698,383,0,19.0,19.75,19.0,16-32,38.0,39.5,38.0,>32,76.0,79.0,76.0,>32
11,large_tower,3444,233,3504,299,60,66,3960,0.015625,0.030555555555555555,0.00047743055555555554,0.9090909090909091,3474.0,266.0,3444,233,336,1861,233,0,15.0,16.5,15.0,8-<16,30.0,33.0,30.0,16-32,60.0,66.0,60.0,>32
11,small_launcher,1778,860,1799,890,21,30,630,0.00546875,0.013888888888888888,7.595486111111111e-05,0.7,1788.5,875.0,1778,860,2041,1270,860,0,5.25,7.5,5.25,4-<8,10.5,15.0,10.5,8-<16,21.0,30.0,21.0,16-32
11,tank,810,575,860,622,50,47,2350,0.013020833333333334,0.02175925925925926,0.00028332368827160495,1.0638297872340425,835.0,598.5,810,575,2980,1538,575,0,12.5,11.75,11.75,8-<16,25.0,23.5,23.5,16-32,50.0,47.0,47.0,>32
11,helicopter,2259,1586,2377,1683,118,97,11446,0.030729166666666665,0.04490740740740741,0.0013799672067901234,1.2164948453608246,2318.0,1634.5,2259,1586,1463,477,477,0,29.5,24.25,24.25,16-32,59.0,48.5,48.5,>32,118.0,97.0,97.0,>32
11,small_tower,2673,1524,2731,1582,58,58,3364,0.015104166666666667,0.026851851851851852,0.00040557484567901235,1.0,2702.0,1553.0,2673,1524,1109,578,578,0,14.5,14.5,14.5,8-<16,29.0,29.0,29.0,16-32,58.0,58.0,58.0,>32
11,ta-ta,1034,941,1066,959,32,18,576,0.008333333333333333,0.008333333333333333,6.944444444444444e-05,1.7777777777777777,1050.0,950.0,1034,941,2774,1201,941,0,8.0,4.5,4.5,4-<8,16.0,9.0,9.0,8-<16,32.0,18.0,18.0,16-32
12,jammer,1456,2131,1491,2159,35,28,980,0.009114583333333334,0.012962962962962963,0.0001181520061728395,1.25,1473.5,2145.0,1456,2131,2349,1,1,1,8.75,7.0,7.0,4-<8,17.5,14.0,14.0,8-<16,35.0,28.0,28.0,16-32
12,large_launcher,3587,1091,3740,1201,153,110,16830,0.03984375,0.05092592592592592,0.0020290798611111113,1.3909090909090909,3663.5,1146.0,3587,1091,100,959,100,0,38.25,27.5,27.5,16-32,76.5,55.0,55.0,>32,153.0,110.0,110.0,>32
12,spacecraft,1490,1397,1535,1446,45,49,2205,0.01171875,0.022685185185185187,0.00026584201388888887,0.9183673469387755,1512.5,1421.5,1490,1397,2305,714,714,0,11.25,12.25,11.25,8-<16,22.5,24.5,22.5,16-32,45.0,49.0,45.0,>32
12,jet_plane,2216,440,2292,520,76,80,6080,0.019791666666666666,0.037037037037037035,0.0007330246913580247,0.95,2254.0,480.0,2216,440,1548,1640,440,0,19.0,20.0,19.0,16-32,38.0,40.0,38.0,>32,76.0,80.0,76.0,>32
12,large_tower,3455,290,3515,356,60,66,3960,0.015625,0.030555555555555555,0.00047743055555555554,0.9090909090909091,3485.0,323.0,3455,290,325,1804,290,0,15.0,16.5,15.0,8-<16,30.0,33.0,30.0,16-32,60.0,66.0,60.0,>32
12,small_launcher,1777,923,1799,953,22,30,660,0.005729166666666666,0.013888888888888888,7.957175925925927e-05,0.7333333333333333,1788.0,938.0,1777,923,2041,1207,923,0,5.5,7.5,5.5,4-<8,11.0,15.0,11.0,8-<16,22.0,30.0,22.0,16-32
12,tank,803,635,853,682,50,47,2350,0.013020833333333334,0.02175925925925926,0.00028332368827160495,1.0638297872340425,828.0,658.5,803,635,2987,1478,635,0,12.5,11.75,11.75,8-<16,25.0,23.5,23.5,16-32,50.0,47.0,47.0,>32
12,helicopter,2261,1659,2381,1756,120,97,11640,0.03125,0.04490740740740741,0.0014033564814814816,1.2371134020618557,2321.0,1707.5,2261,1659,1459,404,404,0,30.0,24.25,24.25,16-32,60.0,48.5,48.5,>32,120.0,97.0,97.0,>32
12,small_tower,2678,1597,2737,1655,59,58,3422,0.015364583333333333,0.026851851851851852,0.00041256751543209877,1.0172413793103448,2707.5,1626.0,2678,1597,1103,505,505,0,14.75,14.5,14.5,8-<16,29.5,29.0,29.0,16-32,59.0,58.0,58.0,>32
12,ta-ta,1028,1005,1060,1022,32,17,544,0.008333333333333333,0.00787037037037037,6.558641975308642e-05,1.8823529411764706,1044.0,1013.5,1028,1005,2780,1138,1005,0,8.0,4.25,4.25,4-<8,16.0,8.5,8.5,8-<16,32.0,17.0,17.0,16-32
13,large_launcher,3599,1158,3754,1268,155,110,17050,0.040364583333333336,0.05092592592592592,0.0020556037808641976,1.4090909090909092,3676.5,1213.0,3599,1158,86,892,86,0,38.75,27.5,27.5,16-32,77.5,55.0,55.0,>32,155.0,110.0,110.0,>32
13,spacecraft,1486,1467,1532,1516,46,49,2254,0.011979166666666667,0.022685185185185187,0.00027174961419753084,0.9387755102040817,1509.0,1491.5,1486,1467,2308,644,644,0,11.5,12.25,11.5,8-<16,23.0,24.5,23.0,16-32,46.0,49.0,46.0,>32
13,jet_plane,2218,498,2295,578,77,80,6160,0.020052083333333335,0.037037037037037035,0.0007426697530864198,0.9625,2256.5,538.0,2218,498,1545,1582,498,0,19.25,20.0,19.25,16-32,38.5,40.0,38.5,>32,77.0,80.0,77.0,>32
13,large_tower,3465,348,3526,414,61,66,4026,0.015885416666666666,0.030555555555555555,0.0004853877314814815,0.9242424242424242,3495.5,381.0,3465,348,314,1746,314,0,15.25,16.5,15.25,8-<16,30.5,33.0,30.5,16-32,61.0,66.0,61.0,>32
13,small_launcher,1776,986,1798,1016,22,30,660,0.005729166666666666,0.013888888888888888,7.957175925925927e-05,0.7333333333333333,1787.0,1001.0,1776,986,2042,1144,986,0,5.5,7.5,5.5,4-<8,11.0,15.0,11.0,8-<16,22.0,30.0,22.0,16-32
13,tank,795,695,845,742,50,47,2350,0.013020833333333334,0.02175925925925926,0.00028332368827160495,1.0638297872340425,820.0,718.5,795,695,2995,1418,695,0,12.5,11.75,11.75,8-<16,25.0,23.5,23.5,16-32,50.0,47.0,47.0,>32
13,helicopter,2264,1733,2384,1831,120,98,11760,0.03125,0.04537037037037037,0.0014178240740740742,1.2244897959183674,2324.0,1782.0,2264,1733,1456,329,329,0,30.0,24.5,24.5,16-32,60.0,49.0,49.0,>32,120.0,98.0,98.0,>32
13,small_tower,2684,1670,2743,1728,59,58,3422,0.015364583333333333,0.026851851851851852,0.00041256751543209877,1.0172413793103448,2713.5,1699.0,2684,1670,1097,432,432,0,14.75,14.5,14.5,8-<16,29.5,29.0,29.0,16-32,59.0,58.0,58.0,>32
13,ta-ta,1022,1070,1054,1087,32,17,544,0.008333333333333333,0.00787037037037037,6.558641975308642e-05,1.8823529411764706,1038.0,1078.5,1022,1070,2786,1073,1022,0,8.0,4.25,4.25,4-<8,16.0,8.5,8.5,8-<16,32.0,17.0,17.0,16-32
14,large_launcher,3611,1226,3767,1336,156,110,17160,0.040625,0.05092592592592592,0.002068865740740741,1.4181818181818182,3689.0,1281.0,3611,1226,73,824,73,0,39.0,27.5,27.5,16-32,78.0,55.0,55.0,>32,156.0,110.0,110.0,>32
14,spacecraft,1483,1539,1529,1588,46,49,2254,0.011979166666666667,0.022685185185185187,0.00027174961419753084,0.9387755102040817,1506.0,1563.5,1483,1539,2311,572,572,0,11.5,12.25,11.5,8-<16,23.0,24.5,23.0,16-32,46.0,49.0,46.0,>32
14,jet_plane,2220,556,2297,638,77,82,6314,0.020052083333333335,0.03796296296296296,0.0007612364969135803,0.9390243902439024,2258.5,597.0,2220,556,1543,1522,556,0,19.25,20.5,19.25,16-32,38.5,41.0,38.5,>32,77.0,82.0,77.0,>32
14,large_tower,3476,407,3538,472,62,65,4030,0.016145833333333335,0.03009259259259259,0.0004858699845679012,0.9538461538461539,3507.0,439.5,3476,407,302,1688,302,0,15.5,16.25,15.5,8-<16,31.0,32.5,31.0,16-32,62.0,65.0,62.0,>32
14,medium_launcher,3719,0,3765,17,46,17,782,0.011979166666666667,0.00787037037037037,9.428047839506172e-05,2.7058823529411766,3742.0,8.5,3719,0,75,2143,0,1,11.5,4.25,4.25,4-<8,23.0,8.5,8.5,8-<16,46.0,17.0,17.0,16-32
14,small_launcher,1775,1051,1797,1081,22,30,660,0.005729166666666666,0.013888888888888888,7.957175925925927e-05,0.7333333333333333,1786.0,1066.0,1775,1051,2043,1079,1051,0,5.5,7.5,5.5,4-<8,11.0,15.0,11.0,8-<16,22.0,30.0,22.0,16-32
14,tank,787,756,838,804,51,48,2448,0.01328125,0.022222222222222223,0.0002951388888888889,1.0625,812.5,780.0,787,756,3002,1356,756,0,12.75,12.0,12.0,8-<16,25.5,24.0,24.0,16-32,51.0,48.0,48.0,>32
14,helicopter,2267,1808,2388,1908,121,100,12100,0.031510416666666666,0.046296296296296294,0.001458815586419753,1.21,2327.5,1858.0,2267,1808,1452,252,252,0,30.25,25.0,25.0,16-32,60.5,50.0,50.0,>32,121.0,100.0,100.0,>32
14,small_tower,2690,1745,2750,1803,60,58,3480,0.015625,0.026851851851851852,0.0004195601851851852,1.0344827586206897,2720.0,1774.0,2690,1745,1090,357,357,0,15.0,14.5,14.5,8-<16,30.0,29.0,29.0,16-32,60.0,58.0,58.0,>32
14,ta-ta,1015,1136,1048,1153,33,17,561,0.00859375,0.00787037037037037,6.763599537037037e-05,1.9411764705882353,1031.5,1144.5,1015,1136,2792,1007,1007,0,8.25,4.25,4.25,4-<8,16.5,8.5,8.5,8-<16,33.0,17.0,17.0,16-32
15,large_launcher,3623,1295,3781,1406,158,111,17538,0.04114583333333333,0.05138888888888889,0.0021144386574074073,1.4234234234234233,3702.0,1350.5,3623,1295,59,754,59,0,39.5,27.75,27.75,16-32,79.0,55.5,55.5,>32,158.0,111.0,111.0,>32
15,spacecraft,1480,1611,1526,1661,46,50,2300,0.011979166666666667,0.023148148148148147,0.000277295524691358,0.92,1503.0,1636.0,1480,1611,2314,499,499,0,11.5,12.5,11.5,8-<16,23.0,25.0,23.0,16-32,46.0,50.0,46.0,>32
15,jet_plane,2222,616,2300,698,78,82,6396,0.0203125,0.03796296296296296,0.0007711226851851852,0.9512195121951219,2261.0,657.0,2222,616,1540,1462,616,0,19.5,20.5,19.5,16-32,39.0,41.0,39.0,>32,78.0,82.0,78.0,>32
15,large_tower,3487,467,3549,531,62,64,3968,0.016145833333333335,0.02962962962962963,0.0004783950617283951,0.96875,3518.0,499.0,3487,467,291,1629,291,0,15.5,16.0,15.5,8-<16,31.0,32.0,31.0,16-32,62.0,64.0,62.0,>32
15,medium_launcher,3730,25,3777,69,47,44,2068,0.012239583333333333,0.020370370370370372,0.0002493248456790123,1.0681818181818181,3753.5,47.0,3730,25,63,2091,25,0,11.75,11.0,11.0,8-<16,23.5,22.0,22.0,16-32,47.0,44.0,44.0,>32
15,small_launcher,1773,1117,1796,1147,23,30,690,0.005989583333333334,0.013888888888888888,8.31886574074074e-05,0.7666666666666667,1784.5,1132.0,1773,1117,2044,1013,1013,0,5.75,7.5,5.75,4-<8,11.5,15.0,11.5,8-<16,23.0,30.0,23.0,16-32
15,tank,779,818,830,867,51,49,2499,0.01328125,0.022685185185185187,0.00030128761574074075,1.0408163265306123,804.5,842.5,779,818,3010,1293,779,0,12.75,12.25,12.25,8-<16,25.5,24.5,24.5,16-32,51.0,49.0,49.0,>32
15,helicopter,2269,1884,2391,1985,122,101,12322,0.03177083333333333,0.04675925925925926,0.0014855806327160493,1.2079207920792079,2330.0,1934.5,2269,1884,1449,175,175,0,30.5,25.25,25.25,16-32,61.0,50.5,50.5,>32,122.0,101.0,101.0,>32
15,small_tower,2696,1821,2756,1879,60,58,3480,0.015625,0.026851851851851852,0.0004195601851851852,1.0344827586206897,2726.0,1850.0,2696,1821,1084,281,281,0,15.0,14.5,14.5,8-<16,30.0,29.0,29.0,16-32,60.0,58.0,58.0,>32
15,ta-ta,1008,1203,1042,1219,34,16,544,0.008854166666666666,0.007407407407407408,6.558641975308642e-05,2.125,1025.0,1211.0,1008,1203,2798,941,941,0,8.5,4.0,4.0,4-<8,17.0,8.0,8.0,8-<16,34.0,16.0,16.0,16-32
16,large_launcher,3636,1364,3795,1476,159,112,17808,0.04140625,0.05185185185185185,0.0021469907407407405,1.4196428571428572,3715.5,1420.0,3636,1364,45,684,45,0,39.75,28.0,28.0,16-32,79.5,56.0,56.0,>32,159.0,112.0,112.0,>32
16,spacecraft,1476,1685,1523,1734,47,49,2303,0.012239583333333333,0.022685185185185187,0.00027765721450617286,0.9591836734693877,1499.5,1709.5,1476,1685,2317,426,426,0,11.75,12.25,11.75,8-<16,23.5,24.5,23.5,16-32,47.0,49.0,47.0,>32
16,jet_plane,2224,676,2303,759,79,83,6557,0.020572916666666666,0.038425925925925926,0.0007905333719135803,0.9518072289156626,2263.5,717.5,2224,676,1537,1401,676,0,19.75,20.75,19.75,16-32,39.5,41.5,39.5,>32,79.0,83.0,79.0,>32
16,large_tower,3498,527,3561,592,63,65,4095,0.01640625,0.03009259259259259,0.0004937065972222222,0.9692307692307692,3529.5,559.5,3498,527,279,1568,279,0,15.75,16.25,15.75,8-<16,31.5,32.5,31.5,16-32,63.0,65.0,63.0,>32
16,medium_launcher,3742,78,3789,123,47,45,2115,0.012239583333333333,0.020833333333333332,0.00025499131944444446,1.0444444444444445,3765.5,100.5,3742,78,51,2037,51,0,11.75,11.25,11.25,8-<16,23.5,22.5,22.5,16-32,47.0,45.0,45.0,>32
16,small_launcher,1772,1184,1795,1213,23,29,667,0.005989583333333334,0.013425925925925926,8.041570216049383e-05,0.7931034482758621,1783.5,1198.5,1772,1184,2045,947,947,0,5.75,7.25,5.75,4-<8,11.5,14.5,11.5,8-<16,23.0,29.0,23.0,16-32
16,tank,771,881,822,930,51,49,2499,0.01328125,0.022685185185185187,0.00030128761574074075,1.0408163265306123,796.5,905.5,771,881,3018,1230,771,0,12.75,12.25,12.25,8-<16,25.5,24.5,24.5,16-32,51.0,49.0,49.0,>32
16,helicopter,2272,1962,2395,2064,123,102,12546,0.03203125,0.04722222222222222,0.0015125868055555556,1.2058823529411764,2333.5,2013.0,2272,1962,1445,96,96,0,30.75,25.5,25.5,16-32,61.5,51.0,51.0,>32,123.0,102.0,102.0,>32
16,small_tower,2702,1899,2763,1956,61,57,3477,0.015885416666666666,0.02638888888888889,0.0004191984953703704,1.0701754385964912,2732.5,1927.5,2702,1899,1077,204,204,0,15.25,14.25,14.25,8-<16,30.5,28.5,28.5,16-32,61.0,57.0,57.0,>32
16,ta-ta,1002,1271,1035,1287,33,16,528,0.00859375,0.007407407407407408,6.36574074074074e-05,2.0625,1018.5,1279.0,1002,1271,2805,873,873,0,8.25,4.0,4.0,4-<8,16.5,8.0,8.0,8-<16,33.0,16.0,16.0,16-32
17,large_launcher,3649,1435,3809,1547,160,112,17920,0.041666666666666664,0.05185185185185185,0.0021604938271604936,1.4285714285714286,3729.0,1491.0,3649,1435,31,613,31,0,40.0,28.0,28.0,16-32,80.0,56.0,56.0,>32,160.0,112.0,112.0,>32
17,spacecraft,1473,1759,1520,1809,47,50,2350,0.012239583333333333,0.023148148148148147,0.00028332368827160495,0.94,1496.5,1784.0,1473,1759,2320,351,351,0,11.75,12.5,11.75,8-<16,23.5,25.0,23.5,16-32,47.0,50.0,47.0,>32
17,jet_plane,2226,737,2305,821,79,84,6636,0.020572916666666666,0.03888888888888889,0.0008000578703703704,0.9404761904761905,2265.5,779.0,2226,737,1535,1339,737,0,19.75,21.0,19.75,16-32,39.5,42.0,39.5,>32,79.0,84.0,79.0,>32
17,large_tower,3509,589,3572,652,63,63,3969,0.01640625,0.029166666666666667,0.000478515625,1.0,3540.5,620.5,3509,589,268,1508,268,0,15.75,15.75,15.75,8-<16,31.5,31.5,31.5,16-32,63.0,63.0,63.0,>32
17,medium_launcher,3754,132,3801,177,47,45,2115,0.012239583333333333,0.020833333333333332,0.00025499131944444446,1.0444444444444445,3777.5,154.5,3754,132,39,1983,39,0,11.75,11.25,11.25,8-<16,23.5,22.5,22.5,16-32,47.0,45.0,45.0,>32
17,small_launcher,1771,1251,1794,1281,23,30,690,0.005989583333333334,0.013888888888888888,8.31886574074074e-05,0.7666666666666667,1782.5,1266.0,1771,1251,2046,879,879,0,5.75,7.5,5.75,4-<8,11.5,15.0,11.5,8-<16,23.0,30.0,23.0,16-32
17,tank,763,945,815,994,52,49,2548,0.013541666666666667,0.022685185185185187,0.0003071952160493827,1.0612244897959184,789.0,969.5,763,945,3025,1166,763,0,13.0,12.25,12.25,8-<16,26.0,24.5,24.5,16-32,52.0,49.0,49.0,>32
17,helicopter,2275,2041,2399,2143,124,102,12648,0.03229166666666667,0.04722222222222222,0.0015248842592592592,1.2156862745098038,2337.0,2092.0,2275,2041,1441,17,17,0,31.0,25.5,25.5,16-32,62.0,51.0,51.0,>32,124.0,102.0,102.0,>32
17,small_tower,2708,1977,2769,2034,61,57,3477,0.015885416666666666,0.02638888888888889,0.0004191984953703704,1.0701754385964912,2738.5,2005.5,2708,1977,1071,126,126,0,15.25,14.25,14.25,8-<16,30.5,28.5,28.5,16-32,61.0,57.0,57.0,>32
17,ta-ta,995,1339,1029,1355,34,16,544,0.008854166666666666,0.007407407407407408,6.558641975308642e-05,2.125,1012.0,1347.0,995,1339,2811,805,805,0,8.5,4.0,4.0,4-<8,17.0,8.0,8.0,8-<16,34.0,16.0,16.0,16-32
18,large_launcher,3662,1507,3823,1619,161,112,18032,0.04192708333333333,0.05185185185185185,0.0021739969135802467,1.4375,3742.5,1563.0,3662,1507,17,541,17,0,40.25,28.0,28.0,16-32,80.5,56.0,56.0,>32,161.0,112.0,112.0,>32
18,spacecraft,1470,1835,1517,1885,47,50,2350,0.012239583333333333,0.023148148148148147,0.00028332368827160495,0.94,1493.5,1860.0,1470,1835,2323,275,275,0,11.75,12.5,11.75,8-<16,23.5,25.0,23.5,16-32,47.0,50.0,47.0,>32
18,jet_plane,2228,799,2308,883,80,84,6720,0.020833333333333332,0.03888888888888889,0.0008101851851851852,0.9523809523809523,2268.0,841.0,2228,799,1532,1277,799,0,20.0,21.0,20.0,16-32,40.0,42.0,40.0,>32,80.0,84.0,80.0,>32
18,large_tower,3520,651,3584,714,64,63,4032,0.016666666666666666,0.029166666666666667,0.0004861111111111111,1.0158730158730158,3552.0,682.5,3520,651,256,1446,256,0,16.0,15.75,15.75,8-<16,32.0,31.5,31.5,16-32,64.0,63.0,63.0,>32
18,medium_launcher,3766,187,3814,232,48,45,2160,0.0125,0.020833333333333332,0.00026041666666666666,1.0666666666666667,3790.0,209.5,3766,187,26,1928,26,0,12.0,11.25,11.25,8-<16,24.0,22.5,22.5,16-32,48.0,45.0,45.0,>32
18,small_launcher,1770,1320,1793,1350,23,30,690,0.005989583333333334,0.013888888888888888,8.31886574074074e-05,0.7666666666666667,1781.5,1335.0,1770,1320,2047,810,810,0,5.75,7.5,5.75,4-<8,11.5,15.0,11.5,8-<16,23.0,30.0,23.0,16-32
18,tank,754,1010,807,1060,53,50,2650,0.013802083333333333,0.023148148148148147,0.00031949266975308643,1.06,780.5,1035.0,754,1010,3033,1100,754,0,13.25,12.5,12.5,8-<16,26.5,25.0,25.0,16-32,53.0,50.0,50.0,>32
18,helicopter,2278,2121,2403,2159,125,38,4750,0.032552083333333336,0.017592592592592594,0.0005726755401234568,3.289473684210526,2340.5,2140.0,2278,2121,1437,1,1,1,31.25,9.5,9.5,8-<16,62.5,19.0,19.0,16-32,125.0,38.0,38.0,>32
18,small_tower,2714,2057,2776,2114,62,57,3534,0.016145833333333335,0.02638888888888889,0.00042607060185185185,1.087719298245614,2745.0,2085.5,2714,2057,1064,46,46,0,15.5,14.25,14.25,8-<16,31.0,28.5,28.5,16-32,62.0,57.0,57.0,>32
18,ta-ta,988,1409,1022,1425,34,16,544,0.008854166666666666,0.007407407407407408,6.558641975308642e-05,2.125,1005.0,1417.0,988,1409,2818,735,735,0,8.5,4.0,4.0,4-<8,17.0,8.0,8.0,8-<16,34.0,16.0,16.0,16-32
19,large_launcher,3675,1580,3838,1693,163,113,18419,0.04244791666666667,0.052314814814814814,0.002220654899691358,1.4424778761061947,3756.5,1636.5,3675,1580,2,467,2,0,40.75,28.25,28.25,16-32,81.5,56.5,56.5,>32,163.0,113.0,113.0,>32
19,spacecraft,1466,1912,1514,1962,48,50,2400,0.0125,0.023148148148148147,0.00028935185185185184,0.96,1490.0,1937.0,1466,1912,2326,198,198,0,12.0,12.5,12.0,8-<16,24.0,25.0,24.0,16-32,48.0,50.0,48.0,>32
19,jet_plane,2230,862,2311,947,81,85,6885,0.02109375,0.03935185185185185,0.000830078125,0.9529411764705882,2270.5,904.5,2230,862,1529,1213,862,0,20.25,21.25,20.25,16-32,40.5,42.5,40.5,>32,81.0,85.0,81.0,>32
19,large_tower,3532,715,3596,777,64,62,3968,0.016666666666666666,0.028703703703703703,0.0004783950617283951,1.032258064516129,3564.0,746.0,3532,715,244,1383,244,0,16.0,15.5,15.5,8-<16,32.0,31.0,31.0,16-32,64.0,62.0,62.0,>32
19,medium_launcher,3779,242,3827,288,48,46,2208,0.0125,0.021296296296296296,0.0002662037037037037,1.0434782608695652,3803.0,265.0,3779,242,13,1872,13,0,12.0,11.5,11.5,8-<16,24.0,23.0,23.0,16-32,48.0,46.0,46.0,>32
19,small_launcher,1769,1390,1792,1419,23,29,667,0.005989583333333334,0.013425925925925926,8.041570216049383e-05,0.7931034482758621,1780.5,1404.5,1769,1390,2048,741,741,0,5.75,7.25,5.75,4-<8,11.5,14.5,11.5,8-<16,23.0,29.0,23.0,16-32
