class,level,bucket,count,boundary_touch,class_frames
ta-ta,0,4-<8,19,0,ta-ta:0;ta-ta:1;ta-ta:2;ta-ta:3;ta-ta:4;ta-ta:5;ta-ta:6;ta-ta:7;ta-ta:8;ta-ta:9;ta-ta:10;ta-ta:11;ta-ta:12;ta-ta:13;ta-ta:14;ta-ta:15;ta-ta:16;ta-ta:17;ta-ta:18
ta-ta,0,8-<16,0,0,
ta-ta,0,16-32,0,0,
ta-ta,0,>32,0,0,
ta-ta,1,<4,0,0,
ta-ta,1,4-<8,6,0,ta-ta:19;ta-ta:20;ta-ta:21;ta-ta:22;ta-ta:23;ta-ta:24
ta-ta,1,8-<16,19,0,ta-ta:0;ta-ta:1;ta-ta:2;ta-ta:3;ta-ta:4;ta-ta:5;ta-ta:6;ta-ta:7;ta-ta:8;ta-ta:9;ta-ta:10;ta-ta:11;ta-ta:12;ta-ta:13;ta-ta:14;ta-ta:15;ta-ta:16;ta-ta:17;ta-ta:18
ta-ta,1,16-32,0,0,
ta-ta,1,>32,0,0,
ta-ta,2,<4,0,0,
ta-ta,2,4-<8,0,0,
ta-ta,2,8-<16,6,0,ta-ta:19;ta-ta:20;ta-ta:21;ta-ta:22;ta-ta:23;ta-ta:24
ta-ta,2,16-32,19,0,ta-ta:0;ta-ta:1;ta-ta:2;ta-ta:3;ta-ta:4;ta-ta:5;ta-ta:6;ta-ta:7;ta-ta:8;ta-ta:9;ta-ta:10;ta-ta:11;ta-ta:12;ta-ta:13;ta-ta:14;ta-ta:15;ta-ta:16;ta-ta:17;ta-ta:18
ta-ta,2,>32,0,0,
tank,0,<4,1,1,tank:0
tank,0,4-<8,0,0,
tank,0,8-<16,24,0,tank:1;tank:2;tank:3;tank:4;tank:5;tank:6;tank:7;tank:8;tank:9;tank:10;tank:11;tank:12;tank:13;tank:14;tank:15;tank:16;tank:17;tank:18;tank:19;tank:20;tank:21;tank:22;tank:23;tank:24
tank,0,16-32,0,0,
tank,0,>32,0,0,
tank,1,<4,0,0,
tank,1,4-<8,1,1,tank:0
tank,1,8-<16,0,0,
tank,1,16-32,24,0,tank:1;tank:2;tank:3;tank:4;tank:5;tank:6;tank:7;tank:8;tank:9;tank:10;tank:11;tank:12;tank:13;tank:14;tank:15;tank:16;tank:17;tank:18;tank:19;tank:20;tank:21;tank:22;tank:23;tank:24
tank,1,>32,0,0,
tank,2,<4,0,0,
tank,2,4-<8,0,0,
tank,2,8-<16,1,1,tank:0
tank,2,16-32,0,0,
tank,2,>32,24,0,tank:1;tank:2;tank:3;tank:4;tank:5;tank:6;tank:7;tank:8;tank:9;tank:10;tank:11;tank:12;tank:13;tank:14;tank:15;tank:16;tank:17;tank:18;tank:19;tank:20;tank:21;tank:22;tank:23;tank:24
